symbol,pivot_type,pivot_bar,signal_bar,pivot_time,signal_time,signal,price
ETHUSDT,LOW,840,843,2026-08-12 19:19:00+00:00,2026-08-12 19:22:00+00:00,BUY,1884.0
ETHUSDT,HIGH,945,948,2026-08-12 21:04:00+00:00,2026-08-12 21:07:00+00:00,SELL,1885.29
ETHUSDT,LOW,1518,1521,2026-08-13 06:37:00+00:00,2026-08-13 06:40:00+00:00,BUY,1891.99
ETHUSDT,HIGH,1843,1846,2026-08-13 12:02:00+00:00,2026-08-13 12:05:00+00:00,SELL,1879.49
