symbol,pivot_type,pivot_bar,signal_bar,pivot_time,signal_time,signal,price
DOGEUSDT,LOW,471,474,2026-08-12 13:09:00+00:00,2026-08-12 13:12:00+00:00,BUY,0.071398
DOGEUSDT,HIGH,1080,1083,2026-08-12 23:18:00+00:00,2026-08-12 23:21:00+00:00,SELL,0.069436
DOGEUSDT,LOW,2366,2369,2026-08-13 20:44:00+00:00,2026-08-13 20:47:00+00:00,BUY,0.070155
DOGEUSDT,LOW,2786,2789,2026-08-14 03:44:00+00:00,2026-08-14 03:47:00+00:00,BUY,0.069902
DOGEUSDT,LOW,3057,3060,2026-08-14 08:15:00+00:00,2026-08-14 08:18:00+00:00,BUY,0.069625
DOGEUSDT,HIGH,3116,3119,2026-08-14 09:14:00+00:00,2026-08-14 09:17:00+00:00,SELL,0.069949
DOGEUSDT,LOW,3868,3871,2026-08-14 21:46:00+00:00,2026-08-14 21:49:00+00:00,BUY,0.069723
