timestamp,open,high,low,close,volume,final_signal,entry
2026-08-12 05:19:00+00:00,1890.02,1890.02,1889.67,1889.81,172.04899,,
2026-08-12 05:20:00+00:00,1889.81,1889.98,1889.59,1889.67,805.8183,,
2026-08-12 05:21:00+00:00,1889.67,1890.02,1889.67,1890.02,1.24256,,
2026-08-12 05:22:00+00:00,1890.02,1890.02,1889.94,1889.99,1.53325,,
2026-08-12 05:23:00+00:00,1889.99,1890.03,1888.99,1889.02,87.15781107336856,,
2026-08-12 05:24:00+00:00,1889.02,1889.02,1888.99,1889.01,1.47495,,
2026-08-12 05:25:00+00:00,1889.01,1889.98,1888.99,1889.52,206.06449892663144,,
2026-08-12 05:26:00+00:00,1889.52,1889.98,1889.48,1889.49,767.20927,,
2026-08-12 05:27:00+00:00,1889.49,1889.98,1889.21,1889.33,133.66915,,
2026-08-12 05:28:00+00:00,1889.33,1889.33,1889.33,1889.33,0.0,,
2026-08-12 05:29:00+00:00,1889.33,1889.33,1888.88,1888.88,0.42690675502365,,
2026-08-12 05:30:00+00:00,1888.88,1890.01,1888.88,1889.96,121.3097163035385,,
2026-08-12 05:31:00+00:00,1889.96,1890.02,1889.96,1889.98,1.886542179151388,,
2026-08-12 05:32:00+00:00,1889.98,1890.54,1889.98,1890.54,2042.28908,,
2026-08-12 05:33:00+00:00,1890.54,1890.54,1889.99,1890.01,0.57855,,
2026-08-12 05:34:00+00:00,1890.01,1890.63,1890.01,1890.63,156.74085,,
2026-08-12 05:35:00+00:00,1890.63,1890.66,1889.99,1889.99,0.8867,,
2026-08-12 05:36:00+00:00,1889.99,1890.99,1889.99,1890.42,360.18902,,
2026-08-12 05:37:00+00:00,1890.42,1891.04,1890.42,1890.98,1.0092037331263837,,
2026-08-12 05:38:00+00:00,1890.98,1891.17,1890.98,1890.99,1.13026,,
2026-08-12 05:39:00+00:00,1890.99,1890.99,1890.41,1890.99,125.8499822731311,,
2026-08-12 05:40:00+00:00,1890.99,1890.99,1890.02,1890.02,258.55443,,
2026-08-12 05:41:00+00:00,1890.02,1890.02,1889.98,1889.98,1.084049318892493,,
2026-08-12 05:42:00+00:00,1889.98,1890.02,1889.98,1890.0,0.68142,,
2026-08-12 05:43:00+00:00,1890.0,1890.53,1889.99,1890.43,157.64481282555556,,
2026-08-12 05:44:00+00:00,1890.43,1891.01,1890.02,1890.98,119.81035,,
2026-08-12 05:45:00+00:00,1890.98,1891.02,1890.47,1890.98,7.769487193968646,,
2026-08-12 05:46:00+00:00,1890.98,1891.02,1890.98,1891.01,0.60357,,
2026-08-12 05:47:00+00:00,1891.01,1891.02,1890.98,1891.01,1.0298057774387637,,
2026-08-12 05:48:00+00:00,1891.01,1891.48,1891.0,1891.45,597.20521,,
2026-08-12 05:49:00+00:00,1891.45,1891.45,1891.45,1891.45,0.0,,
2026-08-12 05:50:00+00:00,1891.45,1891.45,1891.45,1891.45,0.0,,
2026-08-12 05:51:00+00:00,1891.45,1891.45,1891.45,1891.45,0.0,,
2026-08-12 05:52:00+00:00,1891.45,1891.45,1891.26,1891.3,0.6943856828566592,,
2026-08-12 05:53:00+00:00,1891.3,1891.3,1891.3,1891.3,0.0,,
2026-08-12 05:54:00+00:00,1891.3,1891.36,1889.78,1889.78,3.561236699949444,,
2026-08-12 05:55:00+00:00,1889.78,1891.36,1889.74,1891.36,0.5479056207916503,,
2026-08-12 05:56:00+00:00,1891.36,1891.36,1891.36,1891.36,0.0,,
2026-08-12 05:57:00+00:00,1891.36,1891.36,1889.82,1891.36,5.495120411813113,,
2026-08-12 05:58:00+00:00,1891.36,1891.36,1889.64,1891.36,4.78998937322555,,
2026-08-12 05:59:00+00:00,1891.36,1891.36,1891.29,1891.29,0.049120243624863,,
2026-08-12 06:00:00+00:00,1891.29,1891.36,1889.64,1889.64,2.934416353989396,,
2026-08-12 06:01:00+00:00,1889.64,1889.98,1888.65,1888.98,110.41605723105047,,
2026-08-12 06:02:00+00:00,1888.98,1889.61,1888.98,1889.53,148.9337250730222,,
2026-08-12 06:03:00+00:00,1889.53,1889.53,1888.96,1889.02,0.5201171591123698,,
2026-08-12 06:04:00+00:00,1889.02,1889.02,1888.44,1889.02,1072.12449,,
2026-08-12 06:05:00+00:00,1889.02,1889.03,1889.02,1889.02,0.1955,,
2026-08-12 06:06:00+00:00,1889.02,1889.02,1889.02,1889.02,0.0,,
2026-08-12 06:07:00+00:00,1889.02,1889.02,1888.54,1888.67,187.69477,,
2026-08-12 06:08:00+00:00,1888.67,1888.98,1888.36,1888.36,340.76468,,
2026-08-12 06:09:00+00:00,1888.36,1888.36,1887.99,1888.02,0.5660041459545214,,
2026-08-12 06:10:00+00:00,1888.02,1888.02,1887.56,1887.56,57.3058312759784,,
2026-08-12 06:11:00+00:00,1887.56,1887.98,1887.25,1887.47,203.48162170806395,,
2026-08-12 06:12:00+00:00,1887.47,1887.47,1886.99,1886.99,1.2567644081058855,,
2026-08-12 06:13:00+00:00,1886.99,1887.02,1886.99,1887.02,0.24375,,
2026-08-12 06:14:00+00:00,1887.02,1887.02,1887.01,1887.02,0.33711,,
2026-08-12 06:15:00+00:00,1887.02,1887.02,1885.65,1885.67,132.24209801165122,,
2026-08-12 06:16:00+00:00,1885.67,1887.52,1885.67,1887.51,3137.016535822884,,
2026-08-12 06:17:00+00:00,1887.51,1888.6,1887.51,1888.15,3369.24957,,
2026-08-12 06:18:00+00:00,1888.15,1888.15,1888.15,1888.15,0.0,,
2026-08-12 06:19:00+00:00,1888.15,1888.15,1887.63,1887.64,2061.69575,,
2026-08-12 06:20:00+00:00,1887.64,1888.02,1887.49,1887.98,111.24352577054104,,
