time,open,high,low,close,volume
2026-08-10 00:00:00+00:00,602.54,602.61,602.37,602.37,804.34456
2026-08-10 00:01:00+00:00,602.37,603.36,602.3,603.06,2535.02104
2026-08-10 00:02:00+00:00,603.06,603.96,603.06,603.62,7755.89337
2026-08-10 00:03:00+00:00,603.62,604.08,603.61,603.88,1265.19923
2026-08-10 00:04:00+00:00,603.88,604.23,603.84,604.23,97.99223
2026-08-10 00:05:00+00:00,604.23,604.65,604.13,604.65,457.51656
2026-08-10 00:06:00+00:00,604.65,604.79,604.64,604.64,910.88395
2026-08-10 00:07:00+00:00,604.64,605.15,604.64,605.07,2968.145455392362891991
2026-08-10 00:08:00+00:00,605.07,605.39,605.07,605.35,718.682974607637108009
2026-08-10 00:09:00+00:00,605.35,605.46,605.35,605.36,0.37766
2026-08-10 00:10:00+00:00,605.36,606.26,604.82,605.86,2944.648932295228776596
2026-08-10 00:11:00+00:00,605.86,606.87,605.86,606.4,3007.14903
2026-08-10 00:12:00+00:00,606.4,606.56,606.34,606.44,97.71951
2026-08-10 00:13:00+00:00,606.44,606.78,606.14,606.26,329.09964
2026-08-10 00:14:00+00:00,606.26,606.26,606.04,606.16,0.50055
2026-08-10 00:15:00+00:00,606.16,606.16,605.07,605.33,3984.9922
2026-08-10 00:16:00+00:00,605.33,605.33,605.04,605.06,44.83333
2026-08-10 00:17:00+00:00,605.06,605.46,605.04,605.35,292.91799
2026-08-10 00:18:00+00:00,605.35,605.36,605.14,605.24,223.2292
2026-08-10 00:19:00+00:00,605.24,605.36,604.88,605.15,53.48344
2026-08-10 00:20:00+00:00,605.15,605.46,605.07,605.21,195.36102
2026-08-10 00:21:00+00:00,605.21,605.21,604.88,604.95,134.82706
2026-08-10 00:22:00+00:00,604.95,605.21,604.81,604.81,1059.99333
2026-08-10 00:23:00+00:00,604.81,604.83,604.44,604.54,196.5798
2026-08-10 00:24:00+00:00,604.54,604.56,604.02,604.09,98.11452
2026-08-10 00:25:00+00:00,604.09,604.36,604.09,604.23,445.77694370649277569
2026-08-10 00:26:00+00:00,604.23,604.35,604.14,604.35,53.71484
2026-08-10 00:27:00+00:00,604.35,604.66,604.34,604.47,842.10757
2026-08-10 00:28:00+00:00,604.47,604.51,604.33,604.44,376.80475
2026-08-10 00:29:00+00:00,604.44,604.56,604.34,604.37,0.38627
2026-08-10 00:30:00+00:00,604.37,604.81,604.34,604.81,285.68017
2026-08-10 00:31:00+00:00,604.81,604.83,604.81,604.83,0.4646
2026-08-10 00:32:00+00:00,604.83,604.83,604.65,604.82,375.434
2026-08-10 00:33:00+00:00,604.82,605.19,604.65,605.18,202.24845
2026-08-10 00:34:00+00:00,605.18,605.19,604.86,605.01,518.39642
2026-08-10 00:35:00+00:00,605.01,605.02,604.57,604.57,74.28637
2026-08-10 00:36:00+00:00,604.57,604.83,604.29,604.44,1800.18938
2026-08-10 00:37:00+00:00,604.44,604.61,604.24,604.61,1125.076178137558087615
2026-08-10 00:38:00+00:00,604.61,604.76,604.4,604.72,4188.20518
2026-08-10 00:39:00+00:00,604.72,604.75,604.17,604.17,614.69189
2026-08-10 00:40:00+00:00,604.17,604.46,604.08,604.46,151.42278
2026-08-10 00:41:00+00:00,604.46,604.66,604.24,604.47,197.07469
2026-08-10 00:42:00+00:00,604.47,604.56,604.21,604.24,249.00377
2026-08-10 00:43:00+00:00,604.24,604.26,603.82,603.82,195.8876
2026-08-10 00:44:00+00:00,603.82,603.82,603.56,603.63,738.05474
2026-08-10 00:45:00+00:00,603.63,603.96,602.8,603.95,284.190247785569251277
2026-08-10 00:46:00+00:00,603.95,604,603.77,603.86,0.38197
2026-08-10 00:47:00+00:00,603.86,604.06,603.74,604.03,306.85763
2026-08-10 00:48:00+00:00,604.03,604.39,603.95,604.25,388.28149
2026-08-10 00:49:00+00:00,604.25,604.67,604.07,604.67,1236.40624
2026-08-10 00:50:00+00:00,604.67,604.76,604.53,604.6,180.93492
2026-08-10 00:51:00+00:00,604.6,605.29,604.02,605.23,3606.09656
2026-08-10 00:52:00+00:00,605.23,605.25,604.74,604.74,125.23043
2026-08-10 00:53:00+00:00,604.74,604.85,604.64,604.64,53.58128
2026-08-10 00:54:00+00:00,604.64,604.85,604.64,604.64,106.87393
2026-08-10 00:55:00+00:00,604.64,605.13,604.47,605.12,5404.26898
2026-08-10 00:56:00+00:00,605.12,605.13,604.67,604.74,172.06809
2026-08-10 00:57:00+00:00,604.74,604.74,604.7,604.72,0.4108
2026-08-10 00:58:00+00:00,604.72,604.74,604.54,604.54,2484.94135
2026-08-10 00:59:00+00:00,604.54,604.66,604.24,604.26,886.15521
2026-08-10 01:00:00+00:00,604.26,604.3,604.14,604.15,0.38274
2026-08-10 01:01:00+00:00,604.15,604.96,604.15,604.96,1541.77444
2026-08-10 01:02:00+00:00,604.96,605.23,604.96,605.07,1438.71822
2026-08-10 01:03:00+00:00,605.07,605.09,605.03,605.09,0.31303
2026-08-10 01:04:00+00:00,605.09,605.12,604.77,604.81,0.21732
2026-08-10 01:05:00+00:00,604.81,604.96,604.57,604.88,240.06065
2026-08-10 01:06:00+00:00,604.88,604.88,604,604.46,0.33963
2026-08-10 01:07:00+00:00,604.46,604.56,604.44,604.44,0.44736
2026-08-10 01:08:00+00:00,604.44,604.83,604.44,604.64,488.34383
2026-08-10 01:09:00+00:00,604.64,604.83,604.47,604.83,204.37933
2026-08-10 01:10:00+00:00,604.83,605.19,604.81,605.17,830.43892
2026-08-10 01:11:00+00:00,605.17,605.28,604.87,605.1,830.175525305269394069
2026-08-10 01:12:00+00:00,605.1,605.1,604.94,604.94,53.44579
2026-08-10 01:13:00+00:00,604.94,605.1,604.87,604.94,44.46125
2026-08-10 01:14:00+00:00,604.94,604.96,604.75,604.95,2772.92542
2026-08-10 01:15:00+00:00,604.95,605.72,604.94,605.26,614.34118
2026-08-10 01:16:00+00:00,605.26,605.81,604.98,605.6,148.75562
2026-08-10 01:17:00+00:00,605.6,605.81,605.34,605.39,1.659054835513277843
2026-08-10 01:18:00+00:00,605.39,605.46,605.34,605.42,0.28657
2026-08-10 01:19:00+00:00,605.42,605.43,605.24,605.27,0.47512
2026-08-10 01:20:00+00:00,605.27,605.32,604.79,605.06,269.46476
2026-08-10 01:21:00+00:00,605.06,605.06,604.74,604.82,98.06379
2026-08-10 01:22:00+00:00,604.82,604.97,604.74,604.86,195.58508
2026-08-10 01:23:00+00:00,604.86,604.96,604.84,604.96,0.3628
2026-08-10 01:24:00+00:00,604.96,605.06,604.84,605.06,53.717
2026-08-10 01:25:00+00:00,605.06,605.16,604.94,605.14,0.48722
2026-08-10 01:26:00+00:00,605.14,605.5,605.14,605.5,391.70346
2026-08-10 01:27:00+00:00,605.5,605.51,605.28,605.29,232.37119
2026-08-10 01:28:00+00:00,605.29,605.29,605.1,605.14,514.04648
2026-08-10 01:29:00+00:00,605.14,605.14,604.84,604.85,97.90599
2026-08-10 01:30:00+00:00,604.85,604.85,604.64,604.82,1014.5189
2026-08-10 01:31:00+00:00,604.82,604.85,604.82,604.84,0.51609
2026-08-10 01:32:00+00:00,604.84,604.88,604.64,604.71,2370.45485
2026-08-10 01:33:00+00:00,604.71,604.71,604.56,604.71,613.99331
2026-08-10 01:34:00+00:00,604.71,604.71,604.54,604.6,816.93648
2026-08-10 01:35:00+00:00,604.6,604.66,604.44,604.57,0.40001
2026-08-10 01:36:00+00:00,604.57,604.63,604.45,604.57,0.3479
2026-08-10 01:37:00+00:00,604.57,604.66,604.24,604.27,98.17507
2026-08-10 01:38:00+00:00,604.27,604.33,604.04,604.3,195.56462
2026-08-10 01:39:00+00:00,604.3,604.89,604.24,604.88,464.66919
2026-08-10 01:40:00+00:00,604.88,604.89,604.84,604.85,0.33825
2026-08-10 01:41:00+00:00,604.85,605.42,604.84,605.41,1568.35664
2026-08-10 01:42:00+00:00,605.41,605.42,605.2,605.2,343.40411
2026-08-10 01:43:00+00:00,605.2,605.22,604.85,605.02,1660.37541
2026-08-10 01:44:00+00:00,605.02,605.03,604.77,604.98,385.77432
2026-08-10 01:45:00+00:00,604.98,605.22,604.92,605.19,666.42628
