time,open,high,low,close,volume
2026-08-10 00:00:00+00:00,1909.82,1909.82,1909.82,1909.82,0
2026-08-10 00:01:00+00:00,1909.82,1909.82,1908.15,1908.19,59.50131
2026-08-10 00:02:00+00:00,1908.19,1910.38,1907.52,1909.88,2153.4976
2026-08-10 00:03:00+00:00,1909.88,1910.67,1909.88,1910.15,1011.7295
2026-08-10 00:04:00+00:00,1910.15,1910.15,1909.63,1909.63,2031.19551
2026-08-10 00:05:00+00:00,1909.63,1911.79,1909.63,1911.79,32.00264
2026-08-10 00:06:00+00:00,1911.79,1912.35,1910.99,1911.02,147.64656
2026-08-10 00:07:00+00:00,1911.02,1913.35,1911.02,1913.35,2055.285714000491685802
2026-08-10 00:08:00+00:00,1913.35,1914.33,1913.02,1914.33,2155.40386
2026-08-10 00:09:00+00:00,1914.33,1915.98,1914.33,1915.34,557.1917
2026-08-10 00:10:00+00:00,1915.34,1922.36,1914.92,1922.36,12442.121284000491685802
2026-08-10 00:11:00+00:00,1922.36,1925.91,1921.02,1922.37,28831.57577
2026-08-10 00:12:00+00:00,1922.37,1924.34,1921.66,1922.97,8572.15034
2026-08-10 00:13:00+00:00,1922.97,1923.8,1921.49,1921.49,24603.90016
2026-08-10 00:14:00+00:00,1921.49,1921.49,1920.66,1920.98,23.48309
2026-08-10 00:15:00+00:00,1920.98,1921.12,1919.99,1920.53,176.11816
2026-08-10 00:16:00+00:00,1920.53,1921.53,1919.64,1921.53,1157.91469
2026-08-10 00:17:00+00:00,1921.53,1921.85,1920.47,1920.47,2057.30177
2026-08-10 00:18:00+00:00,1920.47,1921,1919.98,1919.98,1623.711430032238214717
2026-08-10 00:19:00+00:00,1919.98,1920.35,1918.98,1918.98,1054.073103628599253199
2026-08-10 00:20:00+00:00,1918.98,1918.99,1917.02,1917.6,225.362860708876461298
2026-08-10 00:21:00+00:00,1917.6,1917.6,1915.53,1916.88,4173.139725565078586742
2026-08-10 00:22:00+00:00,1916.88,1918.47,1916.6,1916.98,32.295918225164457381
2026-08-10 00:23:00+00:00,1916.98,1917.02,1915.98,1915.98,65.04936
2026-08-10 00:24:00+00:00,1915.98,1916.01,1912.86,1913.82,5211.052078981876540254
2026-08-10 00:25:00+00:00,1913.82,1914.53,1913.47,1914.02,17562.75568
2026-08-10 00:26:00+00:00,1914.02,1914.5,1913.28,1913.99,2119.366515783724455129
2026-08-10 00:27:00+00:00,1913.99,1915.01,1913.99,1914.48,229.79938
2026-08-10 00:28:00+00:00,1914.48,1914.53,1913.93,1914.02,142.348947441763292593
2026-08-10 00:29:00+00:00,1914.02,1914.02,1912.66,1913.21,103.09975
2026-08-10 00:30:00+00:00,1913.21,1914.49,1912.3,1914.49,12593.304096825864872353
2026-08-10 00:31:00+00:00,1914.49,1915.09,1914.16,1914.47,62.26011
2026-08-10 00:32:00+00:00,1914.47,1915.02,1913.71,1915.02,97.01602
2026-08-10 00:33:00+00:00,1915.02,1915.03,1914.57,1915.01,93.65731
